Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
1750,1750,22,2,-1,1,0,1,0.3333333333333333
1760,1760,22,2,-1,2,0,2,4.428571428571429
1770,1770,21,2,-1,1,0,1,10.142857142857142
1780,1780,21,3,-1,1,0,1,15.125
1790,1790,20,0,-1,3,0,3,3.375
1800,1800,17,0,-1,1,0,1,8.166666666666666
1810,1810,16,0,-1,2,0,2,4.166666666666667
1820,1820,16,0,-1,2,0,2,6.428571428571429
1830,1830,13,0,-1,2,0,2,13.0
1840,1840,13,2,-1,0,0,0,0.0
1850,1850,11,2,-1,1,0,1,1.2
1860,1860,9,2,-1,2,0,2,6.75
1870,1870,9,2,-1,2,0,2,13.0
1880,1880,9,0,-1,1,0,1,13.166666666666666
1890,1890,7,0,-1,0,0,0,14.8
1900,1900,6,0,-1,0,0,0,0.0
1910,1910,25,0,-1,0,0,0,0.0
1920,1920,24,0,-1,0,0,0,0.0
1930,1930,23,1,-1,0,0,0,0.0
1940,1940,23,2,-1,0,0,0,0.8
1950,1950,21,2,-1,0,0,0,6.0
1960,1960,21,2,-1,1,0,1,9.6
1970,1970,20,3,-1,1,0,1,15.8
1980,1980,20,0,-1,0,0,0,9.166666666666666
1990,1990,18,0,-1,0,1,1,1.6
2000,2000,16,0,-1,0,1,1,4.5
2010,2010,15,0,-1,0,1,1,7.0
2020,2020,14,1,-1,0,1,1,9.5
2030,2030,12,2,-1,1,0,1,1.6666666666666667
2040,2040,12,2,-1,1,0,1,3.75
2050,2050,11,2,-1,1,0,1,7.25
2060,2060,11,2,-1,1,0,1,9.8
2070,2070,11,0,-1,0,0,0,6.0
2080,2080,10,0,-1,2,0,2,0.8333333333333334
2090,2090,9,0,-1,2,1,3,5.666666666666667
2100,2100,8,0,-1,2,1,3,10.666666666666666
2110,2110,7,0,-1,3,1,4,16.5
2120,2120,28,2,-1,2,0,2,3.0
2130,2130,26,2,-1,0,0,0,2.0
2140,2140,24,2,-1,1,0,1,11.75
